AREA;PROBLEMA_OBJETIVO;POBLACION;RIESGO_PROBLEMA;TECNICA_METODO;TAREA_PAUTA;DESCRIPCION_TAREA;OBJETIVO_TAREA;RIESGO_TAREA;DURACION;PRIORIDAD;FUENTE_IDS;NOTA_PROFESIONAL
Neurodivergencia adulta;TEA adulto - rigidez y cambios imprevistos;Adultos;medio;Planificación externa;Rutina mínima diaria;Definir mínimos de sueño, comida, higiene, movimiento y tarea clave.;Recuperar estructura.;bajo;diario;media;"PSY2_SRC002;PSY2_SRC004";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - rigidez y cambios imprevistos;Adultos;medio;Fragmentación de tareas;Checklist de inicio de tarea;Antes de empezar: objetivo, primer paso, materiales y tiempo estimado.;Reducir fricción inicial.;bajo;diario;media;"PSY2_SRC002;PSY2_SRC004";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - rigidez y cambios imprevistos;Adultos;medio;Fragmentación de tareas;Tarea suficientemente buena;Entregar o terminar algo al 80% de perfección.;Reducir perfeccionismo.;medio;semanal;media;"PSY2_SRC002;PSY2_SRC004";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - rigidez y cambios imprevistos;Adultos;medio;Fragmentación de tareas;Primer paso de 5 minutos;Iniciar tarea evitada solo durante 5 minutos.;Romper evitación.;bajo;cuando proceda;media;"PSY2_SRC002;PSY2_SRC004";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - rigidez y cambios imprevistos;Adultos;medio;Gestión del tiempo;Bloques de trabajo con temporizador;Usar bloques breves con descanso planificado.;Mejorar adherencia y foco.;bajo;diario;media;"PSY2_SRC002;PSY2_SRC004";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - rigidez y cambios imprevistos;Adultos;medio;Entrenamiento en pausa;Pausa de 10 segundos antes de responder;Parar, respirar y elegir respuesta antes de actuar.;Reducir impulsividad.;bajo;diario;media;"PSY2_SRC002;PSY2_SRC004";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - rigidez y cambios imprevistos;Adultos;medio;Entrenamiento en pausa;Tarjeta de pausa emocional;Crear tarjeta con pasos: parar, respirar, nombrar, elegir.;Facilitar autocontrol.;bajo;diario;media;"PSY2_SRC002;PSY2_SRC004";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - rigidez y cambios imprevistos;Adultos;medio;Adaptaciones para neurodivergencia;Plan de cambios imprevistos;Crear protocolo: aviso, pausa, opciones y siguiente paso.;Reducir rigidez ante cambios.;bajo;semanal;media;"PSY2_SRC002;PSY2_SRC004";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - rigidez y cambios imprevistos;Adultos;medio;Análisis sensorial;Mapa de sobrecarga sensorial;Registrar estímulos, intensidad, contexto y recuperación.;Identificar perfil sensorial.;medio;7 días;media;"PSY2_SRC002;PSY2_SRC004";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - rigidez y cambios imprevistos;Adultos;medio;Análisis sensorial;Plan de regulación sensorial;Definir pausas, auriculares, luz, espacios y señales de descanso.;Prevenir sobrecarga.;medio;semanal;media;"PSY2_SRC002;PSY2_SRC004";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - rigidez y cambios imprevistos;Adultos;medio;Guiones sociales;Guion para situación social difícil;Preparar inicio, petición, límite y salida de una conversación.;Aumentar seguridad social.;bajo;antes de situación;media;"PSY2_SRC002;PSY2_SRC004";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - rigidez y cambios imprevistos;Adultos;medio;Prevención de recaídas;Plan de prevención de recaídas;Señales tempranas, estrategias, apoyos y plan de revisión.;Mantener avances.;bajo;mensual;media;"PSY2_SRC002;PSY2_SRC004";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - sobrecarga sensorial;Adultos;medio;Psicoeducación;Psicoeducación sobre neurodivergencia;Revisar fortalezas, dificultades, mitos y necesidades de apoyo.;Mejorar autocomprensión.;bajo;sesión;alta;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - sobrecarga sensorial;Adultos;medio;Planificación externa;Registro diario de atención y distracciones;Anotar situación, distractor, duración y estrategia usada.;Detectar patrones atencionales.;bajo;7 días;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - sobrecarga sensorial;Adultos;medio;Planificación externa;Agenda externa semanal;Volcar citas, tareas, vencimientos y recordatorios en un sistema único.;Compensar memoria/organización.;bajo;semanal;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - sobrecarga sensorial;Adultos;medio;Planificación externa;Rutina mínima diaria;Definir mínimos de sueño, comida, higiene, movimiento y tarea clave.;Recuperar estructura.;bajo;diario;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - sobrecarga sensorial;Adultos;medio;Fragmentación de tareas;Checklist de inicio de tarea;Antes de empezar: objetivo, primer paso, materiales y tiempo estimado.;Reducir fricción inicial.;bajo;diario;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - sobrecarga sensorial;Adultos;medio;Fragmentación de tareas;Tarea suficientemente buena;Entregar o terminar algo al 80% de perfección.;Reducir perfeccionismo.;medio;semanal;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - sobrecarga sensorial;Adultos;medio;Fragmentación de tareas;Primer paso de 5 minutos;Iniciar tarea evitada solo durante 5 minutos.;Romper evitación.;bajo;cuando proceda;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - sobrecarga sensorial;Adultos;medio;Gestión del tiempo;Bloques de trabajo con temporizador;Usar bloques breves con descanso planificado.;Mejorar adherencia y foco.;bajo;diario;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - sobrecarga sensorial;Adultos;medio;Entrenamiento en pausa;Pausa de 10 segundos antes de responder;Parar, respirar y elegir respuesta antes de actuar.;Reducir impulsividad.;bajo;diario;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - sobrecarga sensorial;Adultos;medio;Entrenamiento en pausa;Tarjeta de pausa emocional;Crear tarjeta con pasos: parar, respirar, nombrar, elegir.;Facilitar autocontrol.;bajo;diario;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - sobrecarga sensorial;Adultos;medio;Adaptaciones para neurodivergencia;Plan de cambios imprevistos;Crear protocolo: aviso, pausa, opciones y siguiente paso.;Reducir rigidez ante cambios.;bajo;semanal;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - sobrecarga sensorial;Adultos;medio;Análisis sensorial;Mapa de sobrecarga sensorial;Registrar estímulos, intensidad, contexto y recuperación.;Identificar perfil sensorial.;medio;7 días;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - sobrecarga sensorial;Adultos;medio;Análisis sensorial;Plan de regulación sensorial;Definir pausas, auriculares, luz, espacios y señales de descanso.;Prevenir sobrecarga.;medio;semanal;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - sobrecarga sensorial;Adultos;medio;Guiones sociales;Guion para situación social difícil;Preparar inicio, petición, límite y salida de una conversación.;Aumentar seguridad social.;bajo;antes de situación;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;TEA adulto - sobrecarga sensorial;Adultos;medio;Prevención de recaídas;Plan de prevención de recaídas;Señales tempranas, estrategias, apoyos y plan de revisión.;Mantener avances.;bajo;mensual;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;Asperger - identificación histórica;Adultos/Adolescentes;bajo;Psicoeducación;Psicoeducación sobre neurodivergencia;Revisar fortalezas, dificultades, mitos y necesidades de apoyo.;Mejorar autocomprensión.;bajo;sesión;alta;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;Asperger - identificación histórica;Adultos/Adolescentes;bajo;Planificación externa;Registro diario de atención y distracciones;Anotar situación, distractor, duración y estrategia usada.;Detectar patrones atencionales.;bajo;7 días;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;Asperger - identificación histórica;Adultos/Adolescentes;bajo;Planificación externa;Agenda externa semanal;Volcar citas, tareas, vencimientos y recordatorios en un sistema único.;Compensar memoria/organización.;bajo;semanal;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;Asperger - identificación histórica;Adultos/Adolescentes;bajo;Planificación externa;Rutina mínima diaria;Definir mínimos de sueño, comida, higiene, movimiento y tarea clave.;Recuperar estructura.;bajo;diario;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;Asperger - identificación histórica;Adultos/Adolescentes;bajo;Fragmentación de tareas;Checklist de inicio de tarea;Antes de empezar: objetivo, primer paso, materiales y tiempo estimado.;Reducir fricción inicial.;bajo;diario;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;Asperger - identificación histórica;Adultos/Adolescentes;bajo;Fragmentación de tareas;Tarea suficientemente buena;Entregar o terminar algo al 80% de perfección.;Reducir perfeccionismo.;medio;semanal;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;Asperger - identificación histórica;Adultos/Adolescentes;bajo;Fragmentación de tareas;Primer paso de 5 minutos;Iniciar tarea evitada solo durante 5 minutos.;Romper evitación.;bajo;cuando proceda;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;Asperger - identificación histórica;Adultos/Adolescentes;bajo;Gestión del tiempo;Bloques de trabajo con temporizador;Usar bloques breves con descanso planificado.;Mejorar adherencia y foco.;bajo;diario;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;Asperger - identificación histórica;Adultos/Adolescentes;bajo;Entrenamiento en pausa;Pausa de 10 segundos antes de responder;Parar, respirar y elegir respuesta antes de actuar.;Reducir impulsividad.;bajo;diario;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;Asperger - identificación histórica;Adultos/Adolescentes;bajo;Entrenamiento en pausa;Tarjeta de pausa emocional;Crear tarjeta con pasos: parar, respirar, nombrar, elegir.;Facilitar autocontrol.;bajo;diario;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;Asperger - identificación histórica;Adultos/Adolescentes;bajo;Adaptaciones para neurodivergencia;Plan de cambios imprevistos;Crear protocolo: aviso, pausa, opciones y siguiente paso.;Reducir rigidez ante cambios.;bajo;semanal;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;Asperger - identificación histórica;Adultos/Adolescentes;bajo;Análisis sensorial;Mapa de sobrecarga sensorial;Registrar estímulos, intensidad, contexto y recuperación.;Identificar perfil sensorial.;medio;7 días;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;Asperger - identificación histórica;Adultos/Adolescentes;bajo;Análisis sensorial;Plan de regulación sensorial;Definir pausas, auriculares, luz, espacios y señales de descanso.;Prevenir sobrecarga.;medio;semanal;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;Asperger - identificación histórica;Adultos/Adolescentes;bajo;Guiones sociales;Guion para situación social difícil;Preparar inicio, petición, límite y salida de una conversación.;Aumentar seguridad social.;bajo;antes de situación;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Neurodivergencia adulta;Asperger - identificación histórica;Adultos/Adolescentes;bajo;Prevención de recaídas;Plan de prevención de recaídas;Señales tempranas, estrategias, apoyos y plan de revisión.;Mantener avances.;bajo;mensual;media;"PSY2_SRC002;PSY2_SRC003";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Rumiación persistente;Adultos/Adolescentes;medio;Registro ABC;Registro ABC emocional;Registrar situación, pensamiento, emoción, impulso y conducta.;Comprender ciclos emocionales.;bajo;7 días;media;"PSY2_SRC008;PSY2_SRC009";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Rumiación persistente;Adultos/Adolescentes;medio;Registro ABC;Registro de comparación;Detectar comparación, contexto, coste y respuesta alternativa.;Reducir comparación dañina.;bajo;7 días;media;"PSY2_SRC008;PSY2_SRC009";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Rumiación persistente;Adultos/Adolescentes;medio;Registro ABC;Registro de carga laboral;Anotar demandas, energía, pausas, horas extra y recuperación.;Detectar burnout/estrés.;bajo;7 días;alta;"PSY2_SRC008;PSY2_SRC009";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Rumiación persistente;Adultos/Adolescentes;medio;Regulación emocional;Rueda de emociones;Nombrar emoción principal, secundaria e intensidad 0-10.;Mejorar identificación emocional.;bajo;diario;media;"PSY2_SRC008;PSY2_SRC009";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Rumiación persistente;Adultos/Adolescentes;medio;Tolerancia al malestar;Plan de tolerancia al malestar;Elegir 3 estrategias para momentos de intensidad alta.;Reducir conducta impulsiva.;medio;semanal;media;"PSY2_SRC008;PSY2_SRC009";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Rumiación persistente;Adultos/Adolescentes;medio;Mindfulness / atención plena;Práctica de mindfulness breve;3-5 minutos de atención a respiración, sonidos o cuerpo.;Entrenar observación.;bajo;diario;media;"PSY2_SRC008;PSY2_SRC009";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Rumiación persistente;Adultos/Adolescentes;medio;Defusión cognitiva;Defusión de pensamientos repetitivos;Escribir pensamiento como 'estoy teniendo el pensamiento de...'.;Tomar distancia de rumiación.;bajo;cuando aparezca;media;"PSY2_SRC008;PSY2_SRC009";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Rumiación persistente;Adultos/Adolescentes;medio;Entrenamiento en pausa;Pausa de 10 segundos antes de responder;Parar, respirar y elegir respuesta antes de actuar.;Reducir impulsividad.;bajo;diario;media;"PSY2_SRC008;PSY2_SRC009";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Rumiación persistente;Adultos/Adolescentes;medio;Entrenamiento en pausa;Tarjeta de pausa emocional;Crear tarjeta con pasos: parar, respirar, nombrar, elegir.;Facilitar autocontrol.;bajo;diario;media;"PSY2_SRC008;PSY2_SRC009";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Rumiación persistente;Adultos/Adolescentes;medio;Prevención de recaídas;Plan de prevención de recaídas;Señales tempranas, estrategias, apoyos y plan de revisión.;Mantener avances.;bajo;mensual;media;"PSY2_SRC008;PSY2_SRC009";El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Impulsividad emocional;Adultos/Adolescentes;medio;Registro ABC;Registro ABC emocional;Registrar situación, pensamiento, emoción, impulso y conducta.;Comprender ciclos emocionales.;bajo;7 días;media;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Impulsividad emocional;Adultos/Adolescentes;medio;Registro ABC;Registro de comparación;Detectar comparación, contexto, coste y respuesta alternativa.;Reducir comparación dañina.;bajo;7 días;media;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Impulsividad emocional;Adultos/Adolescentes;medio;Registro ABC;Registro de carga laboral;Anotar demandas, energía, pausas, horas extra y recuperación.;Detectar burnout/estrés.;bajo;7 días;alta;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Impulsividad emocional;Adultos/Adolescentes;medio;Regulación emocional;Rueda de emociones;Nombrar emoción principal, secundaria e intensidad 0-10.;Mejorar identificación emocional.;bajo;diario;media;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Impulsividad emocional;Adultos/Adolescentes;medio;Tolerancia al malestar;Plan de tolerancia al malestar;Elegir 3 estrategias para momentos de intensidad alta.;Reducir conducta impulsiva.;medio;semanal;media;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Impulsividad emocional;Adultos/Adolescentes;medio;Mindfulness / atención plena;Práctica de mindfulness breve;3-5 minutos de atención a respiración, sonidos o cuerpo.;Entrenar observación.;bajo;diario;media;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Impulsividad emocional;Adultos/Adolescentes;medio;Defusión cognitiva;Defusión de pensamientos repetitivos;Escribir pensamiento como 'estoy teniendo el pensamiento de...'.;Tomar distancia de rumiación.;bajo;cuando aparezca;media;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Impulsividad emocional;Adultos/Adolescentes;medio;Entrenamiento en pausa;Pausa de 10 segundos antes de responder;Parar, respirar y elegir respuesta antes de actuar.;Reducir impulsividad.;bajo;diario;media;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Impulsividad emocional;Adultos/Adolescentes;medio;Entrenamiento en pausa;Tarjeta de pausa emocional;Crear tarjeta con pasos: parar, respirar, nombrar, elegir.;Facilitar autocontrol.;bajo;diario;media;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Impulsividad emocional;Adultos/Adolescentes;medio;Prevención de recaídas;Plan de prevención de recaídas;Señales tempranas, estrategias, apoyos y plan de revisión.;Mantener avances.;bajo;mensual;media;PSY2_SRC001;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Baja tolerancia a la frustración;Adultos/Adolescentes;bajo;Registro ABC;Registro ABC emocional;Registrar situación, pensamiento, emoción, impulso y conducta.;Comprender ciclos emocionales.;bajo;7 días;media;PSY2_SRC009;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Baja tolerancia a la frustración;Adultos/Adolescentes;bajo;Registro ABC;Registro de comparación;Detectar comparación, contexto, coste y respuesta alternativa.;Reducir comparación dañina.;bajo;7 días;media;PSY2_SRC009;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Baja tolerancia a la frustración;Adultos/Adolescentes;bajo;Registro ABC;Registro de carga laboral;Anotar demandas, energía, pausas, horas extra y recuperación.;Detectar burnout/estrés.;bajo;7 días;alta;PSY2_SRC009;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Baja tolerancia a la frustración;Adultos/Adolescentes;bajo;Regulación emocional;Rueda de emociones;Nombrar emoción principal, secundaria e intensidad 0-10.;Mejorar identificación emocional.;bajo;diario;media;PSY2_SRC009;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Baja tolerancia a la frustración;Adultos/Adolescentes;bajo;Tolerancia al malestar;Plan de tolerancia al malestar;Elegir 3 estrategias para momentos de intensidad alta.;Reducir conducta impulsiva.;medio;semanal;media;PSY2_SRC009;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Baja tolerancia a la frustración;Adultos/Adolescentes;bajo;Mindfulness / atención plena;Práctica de mindfulness breve;3-5 minutos de atención a respiración, sonidos o cuerpo.;Entrenar observación.;bajo;diario;media;PSY2_SRC009;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Baja tolerancia a la frustración;Adultos/Adolescentes;bajo;Defusión cognitiva;Defusión de pensamientos repetitivos;Escribir pensamiento como 'estoy teniendo el pensamiento de...'.;Tomar distancia de rumiación.;bajo;cuando aparezca;media;PSY2_SRC009;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Baja tolerancia a la frustración;Adultos/Adolescentes;bajo;Entrenamiento en pausa;Pausa de 10 segundos antes de responder;Parar, respirar y elegir respuesta antes de actuar.;Reducir impulsividad.;bajo;diario;media;PSY2_SRC009;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Baja tolerancia a la frustración;Adultos/Adolescentes;bajo;Entrenamiento en pausa;Tarjeta de pausa emocional;Crear tarjeta con pasos: parar, respirar, nombrar, elegir.;Facilitar autocontrol.;bajo;diario;media;PSY2_SRC009;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Baja tolerancia a la frustración;Adultos/Adolescentes;bajo;Prevención de recaídas;Plan de prevención de recaídas;Señales tempranas, estrategias, apoyos y plan de revisión.;Mantener avances.;bajo;mensual;media;PSY2_SRC009;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Dificultad para identificar emociones;Adultos/Adolescentes;medio;Registro ABC;Registro ABC emocional;Registrar situación, pensamiento, emoción, impulso y conducta.;Comprender ciclos emocionales.;bajo;7 días;media;PSY2_SRC009;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Dificultad para identificar emociones;Adultos/Adolescentes;medio;Registro ABC;Registro de comparación;Detectar comparación, contexto, coste y respuesta alternativa.;Reducir comparación dañina.;bajo;7 días;media;PSY2_SRC009;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Dificultad para identificar emociones;Adultos/Adolescentes;medio;Registro ABC;Registro de carga laboral;Anotar demandas, energía, pausas, horas extra y recuperación.;Detectar burnout/estrés.;bajo;7 días;alta;PSY2_SRC009;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Dificultad para identificar emociones;Adultos/Adolescentes;medio;Regulación emocional;Rueda de emociones;Nombrar emoción principal, secundaria e intensidad 0-10.;Mejorar identificación emocional.;bajo;diario;media;PSY2_SRC009;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
Regulación emocional;Dificultad para identificar emociones;Adultos/Adolescentes;medio;Tolerancia al malestar;Plan de tolerancia al malestar;Elegir 3 estrategias para momentos de intensidad alta.;Reducir conducta impulsiva.;medio;semanal;media;PSY2_SRC009;El profesional debe adaptar la tarea a evaluación clínica, riesgo, edad, contexto, objetivos, preferencias y límites competenciales.
