AREA;PROBLEMA_OBJETIVO;DESCRIPCION_PROBLEMA;POBLACION;RIESGO_PROBLEMA;FUENTE_IDS;TECNICA_METODO;DESCRIPCION_TECNICA;RIESGO_TECNICA;TAREA_PAUTA;DESCRIPCION_TAREA;OBJETIVO_TAREA;RIESGO_TAREA;DURACION;PRIORIDAD;NOTA_PROFESIONAL
TDAH y autorregulación;TDAH - baja persistencia;Abandono rápido cuando la tarea exige esfuerzo sostenido.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC009";Checklist de pasos;Convertir una tarea compleja en pasos visibles y verificables.;bajo;Checklist de mochila y materiales;Lista visible para preparar mochila, deberes y materiales del día siguiente.;Reducir olvidos y dependencia adulta.;bajo;5-10 min diarios;alta;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - baja persistencia;Abandono rápido cuando la tarea exige esfuerzo sostenido.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC009";Temporizador visual / Pomodoro adaptado;Bloques de trabajo breves con pausa anticipada.;bajo;Pomodoro adaptado 10-5;Trabajar 10 minutos y descansar 5, ajustando según edad y tolerancia.;Sostener atención con descansos previstos.;bajo;diario;alta;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - baja persistencia;Abandono rápido cuando la tarea exige esfuerzo sostenido.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC009";Fragmentación de tareas;Dividir tareas largas en microtareas con inicio claro.;bajo;Primer paso visible;Escribir el primer paso mínimo de una tarea antes de empezar.;Reducir bloqueo de inicio.;bajo;cada tarea;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - baja persistencia;Abandono rápido cuando la tarea exige esfuerzo sostenido.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC009";Refuerzo positivo específico;Reforzar conducta concreta, esfuerzo y estrategia usada.;bajo;Juego de espera de turno;Practicar esperar turno en juego breve con refuerzo inmediato.;Reducir impulsividad.;bajo;2-3 veces/semana;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - baja persistencia;Abandono rápido cuando la tarea exige esfuerzo sostenido.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC009";Refuerzo positivo específico;Reforzar conducta concreta, esfuerzo y estrategia usada.;bajo;Registro de autoeficacia;Anotar esfuerzo, estrategia usada y avance pequeño.;Mejorar autoconcepto académico.;bajo;semanal;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - baja persistencia;Abandono rápido cuando la tarea exige esfuerzo sostenido.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC009";Refuerzo positivo específico;Reforzar conducta concreta, esfuerzo y estrategia usada.;bajo;Menú de recompensas educativas;Crear lista de reforzadores no excesivos y acordados.;Mejorar motivación.;bajo;semanal;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - baja persistencia;Abandono rápido cuando la tarea exige esfuerzo sostenido.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC009";Autoinstrucciones;Enseñar diálogo interno: paro, miro, pienso, hago, reviso.;bajo;Tarjeta de autoinstrucciones;Crear tarjeta: paro, leo, subrayo, hago, reviso.;Mejorar control ejecutivo.;bajo;diario;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - baja persistencia;Abandono rápido cuando la tarea exige esfuerzo sostenido.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC009";Entrenamiento de memoria de trabajo;Reducir carga, externalizar información y practicar estrategias.;bajo;Instrucciones de 1-2-3 pasos;Practicar seguir instrucciones graduadas y comprobar cumplimiento.;Mejorar memoria de trabajo.;bajo;diario;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - baja persistencia;Abandono rápido cuando la tarea exige esfuerzo sostenido.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC009";Entrenamiento de memoria de trabajo;Reducir carga, externalizar información y practicar estrategias.;bajo;Memoria de trabajo externa;Usar papel auxiliar para datos, pasos o consignas.;Reducir carga cognitiva.;bajo;cada tarea;alta;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - baja persistencia;Abandono rápido cuando la tarea exige esfuerzo sostenido.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC009";Planificación por objetivos SMART;Objetivos específicos, medibles, alcanzables, relevantes y temporales.;bajo;Objetivo SMART semanal;Definir objetivo concreto, medible y revisable para la semana.;Mejorar planificación.;bajo;semanal;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - baja persistencia;Abandono rápido cuando la tarea exige esfuerzo sostenido.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC009";Planificación por objetivos SMART;Objetivos específicos, medibles, alcanzables, relevantes y temporales.;bajo;Reto graduado;Elegir tarea ligeramente difícil pero alcanzable.;Trabajar frustración y esfuerzo.;bajo;semanal;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - baja persistencia;Abandono rápido cuando la tarea exige esfuerzo sostenido.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC009";Planificación por objetivos SMART;Objetivos específicos, medibles, alcanzables, relevantes y temporales.;bajo;Planificar con cuatro casillas;Objetivo, materiales, pasos y revisión.;Mejorar planificación.;bajo;cada tarea larga;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - baja persistencia;Abandono rápido cuando la tarea exige esfuerzo sostenido.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC009";Monitorización y autoevaluación;Revisar proceso, resultado, errores y próximos pasos.;bajo;Registro de distractores;Anotar cuándo se distrae, por qué y qué ayuda a volver.;Detectar patrones de atención.;bajo;7 días;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - baja persistencia;Abandono rápido cuando la tarea exige esfuerzo sostenido.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC009";Monitorización y autoevaluación;Revisar proceso, resultado, errores y próximos pasos.;bajo;Revisión COPS;Revisar mayúsculas, orden, puntuación y ortografía.;Mejorar revisión escrita.;bajo;cada texto;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - gestión del tiempo escolar;Dificultad para estimar tiempos, organizar deberes o preparar exámenes.;Adolescente;bajo;"PSP2_SRC001;PSP2_SRC009";Psicoeducación al alumno y familia;Explicar perfil, fortalezas, necesidades y objetivos de intervención.;bajo;Mapa de fortalezas y necesidades;Identificar fortalezas, dificultades y apoyos necesarios.;Comprender perfil 2e.;bajo;sesión;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - gestión del tiempo escolar;Dificultad para estimar tiempos, organizar deberes o preparar exámenes.;Adolescente;bajo;"PSP2_SRC001;PSP2_SRC009";Agenda visual / planificación externa;Uso de agenda, calendario, pictos, checklist o panel semanal.;bajo;Panel semanal de tareas;Organizar exámenes, deberes, entregas y actividades en un panel semanal.;Externalizar planificación.;bajo;15 min semanal;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - gestión del tiempo escolar;Dificultad para estimar tiempos, organizar deberes o preparar exámenes.;Adolescente;bajo;"PSP2_SRC001;PSP2_SRC009";Checklist de pasos;Convertir una tarea compleja en pasos visibles y verificables.;bajo;Checklist de mochila y materiales;Lista visible para preparar mochila, deberes y materiales del día siguiente.;Reducir olvidos y dependencia adulta.;bajo;5-10 min diarios;alta;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - gestión del tiempo escolar;Dificultad para estimar tiempos, organizar deberes o preparar exámenes.;Adolescente;bajo;"PSP2_SRC001;PSP2_SRC009";Temporizador visual / Pomodoro adaptado;Bloques de trabajo breves con pausa anticipada.;bajo;Pomodoro adaptado 10-5;Trabajar 10 minutos y descansar 5, ajustando según edad y tolerancia.;Sostener atención con descansos previstos.;bajo;diario;alta;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - gestión del tiempo escolar;Dificultad para estimar tiempos, organizar deberes o preparar exámenes.;Adolescente;bajo;"PSP2_SRC001;PSP2_SRC009";Fragmentación de tareas;Dividir tareas largas en microtareas con inicio claro.;bajo;Primer paso visible;Escribir el primer paso mínimo de una tarea antes de empezar.;Reducir bloqueo de inicio.;bajo;cada tarea;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - gestión del tiempo escolar;Dificultad para estimar tiempos, organizar deberes o preparar exámenes.;Adolescente;bajo;"PSP2_SRC001;PSP2_SRC009";Refuerzo positivo específico;Reforzar conducta concreta, esfuerzo y estrategia usada.;bajo;Juego de espera de turno;Practicar esperar turno en juego breve con refuerzo inmediato.;Reducir impulsividad.;bajo;2-3 veces/semana;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - gestión del tiempo escolar;Dificultad para estimar tiempos, organizar deberes o preparar exámenes.;Adolescente;bajo;"PSP2_SRC001;PSP2_SRC009";Refuerzo positivo específico;Reforzar conducta concreta, esfuerzo y estrategia usada.;bajo;Registro de autoeficacia;Anotar esfuerzo, estrategia usada y avance pequeño.;Mejorar autoconcepto académico.;bajo;semanal;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - gestión del tiempo escolar;Dificultad para estimar tiempos, organizar deberes o preparar exámenes.;Adolescente;bajo;"PSP2_SRC001;PSP2_SRC009";Refuerzo positivo específico;Reforzar conducta concreta, esfuerzo y estrategia usada.;bajo;Menú de recompensas educativas;Crear lista de reforzadores no excesivos y acordados.;Mejorar motivación.;bajo;semanal;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - gestión del tiempo escolar;Dificultad para estimar tiempos, organizar deberes o preparar exámenes.;Adolescente;bajo;"PSP2_SRC001;PSP2_SRC009";Autoinstrucciones;Enseñar diálogo interno: paro, miro, pienso, hago, reviso.;bajo;Tarjeta de autoinstrucciones;Crear tarjeta: paro, leo, subrayo, hago, reviso.;Mejorar control ejecutivo.;bajo;diario;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - gestión del tiempo escolar;Dificultad para estimar tiempos, organizar deberes o preparar exámenes.;Adolescente;bajo;"PSP2_SRC001;PSP2_SRC009";Entrenamiento de memoria de trabajo;Reducir carga, externalizar información y practicar estrategias.;bajo;Instrucciones de 1-2-3 pasos;Practicar seguir instrucciones graduadas y comprobar cumplimiento.;Mejorar memoria de trabajo.;bajo;diario;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - gestión del tiempo escolar;Dificultad para estimar tiempos, organizar deberes o preparar exámenes.;Adolescente;bajo;"PSP2_SRC001;PSP2_SRC009";Entrenamiento de memoria de trabajo;Reducir carga, externalizar información y practicar estrategias.;bajo;Memoria de trabajo externa;Usar papel auxiliar para datos, pasos o consignas.;Reducir carga cognitiva.;bajo;cada tarea;alta;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - gestión del tiempo escolar;Dificultad para estimar tiempos, organizar deberes o preparar exámenes.;Adolescente;bajo;"PSP2_SRC001;PSP2_SRC009";Planificación por objetivos SMART;Objetivos específicos, medibles, alcanzables, relevantes y temporales.;bajo;Objetivo SMART semanal;Definir objetivo concreto, medible y revisable para la semana.;Mejorar planificación.;bajo;semanal;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - gestión del tiempo escolar;Dificultad para estimar tiempos, organizar deberes o preparar exámenes.;Adolescente;bajo;"PSP2_SRC001;PSP2_SRC009";Planificación por objetivos SMART;Objetivos específicos, medibles, alcanzables, relevantes y temporales.;bajo;Reto graduado;Elegir tarea ligeramente difícil pero alcanzable.;Trabajar frustración y esfuerzo.;bajo;semanal;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - gestión del tiempo escolar;Dificultad para estimar tiempos, organizar deberes o preparar exámenes.;Adolescente;bajo;"PSP2_SRC001;PSP2_SRC009";Planificación por objetivos SMART;Objetivos específicos, medibles, alcanzables, relevantes y temporales.;bajo;Planificar con cuatro casillas;Objetivo, materiales, pasos y revisión.;Mejorar planificación.;bajo;cada tarea larga;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - gestión del tiempo escolar;Dificultad para estimar tiempos, organizar deberes o preparar exámenes.;Adolescente;bajo;"PSP2_SRC001;PSP2_SRC009";Monitorización y autoevaluación;Revisar proceso, resultado, errores y próximos pasos.;bajo;Registro de distractores;Anotar cuándo se distrae, por qué y qué ayuda a volver.;Detectar patrones de atención.;bajo;7 días;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - gestión del tiempo escolar;Dificultad para estimar tiempos, organizar deberes o preparar exámenes.;Adolescente;bajo;"PSP2_SRC001;PSP2_SRC009";Monitorización y autoevaluación;Revisar proceso, resultado, errores y próximos pasos.;bajo;Revisión COPS;Revisar mayúsculas, orden, puntuación y ortografía.;Mejorar revisión escrita.;bajo;cada texto;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - seguimiento de instrucciones múltiples;Pérdida de pasos cuando una instrucción contiene varias acciones.;Infantil/Adolescente;bajo;"PSP2_SRC001;PSP2_SRC006";Psicoeducación al alumno y familia;Explicar perfil, fortalezas, necesidades y objetivos de intervención.;bajo;Mapa de fortalezas y necesidades;Identificar fortalezas, dificultades y apoyos necesarios.;Comprender perfil 2e.;bajo;sesión;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - seguimiento de instrucciones múltiples;Pérdida de pasos cuando una instrucción contiene varias acciones.;Infantil/Adolescente;bajo;"PSP2_SRC001;PSP2_SRC006";Agenda visual / planificación externa;Uso de agenda, calendario, pictos, checklist o panel semanal.;bajo;Panel semanal de tareas;Organizar exámenes, deberes, entregas y actividades en un panel semanal.;Externalizar planificación.;bajo;15 min semanal;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - seguimiento de instrucciones múltiples;Pérdida de pasos cuando una instrucción contiene varias acciones.;Infantil/Adolescente;bajo;"PSP2_SRC001;PSP2_SRC006";Checklist de pasos;Convertir una tarea compleja en pasos visibles y verificables.;bajo;Checklist de mochila y materiales;Lista visible para preparar mochila, deberes y materiales del día siguiente.;Reducir olvidos y dependencia adulta.;bajo;5-10 min diarios;alta;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - seguimiento de instrucciones múltiples;Pérdida de pasos cuando una instrucción contiene varias acciones.;Infantil/Adolescente;bajo;"PSP2_SRC001;PSP2_SRC006";Temporizador visual / Pomodoro adaptado;Bloques de trabajo breves con pausa anticipada.;bajo;Pomodoro adaptado 10-5;Trabajar 10 minutos y descansar 5, ajustando según edad y tolerancia.;Sostener atención con descansos previstos.;bajo;diario;alta;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - seguimiento de instrucciones múltiples;Pérdida de pasos cuando una instrucción contiene varias acciones.;Infantil/Adolescente;bajo;"PSP2_SRC001;PSP2_SRC006";Fragmentación de tareas;Dividir tareas largas en microtareas con inicio claro.;bajo;Primer paso visible;Escribir el primer paso mínimo de una tarea antes de empezar.;Reducir bloqueo de inicio.;bajo;cada tarea;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - seguimiento de instrucciones múltiples;Pérdida de pasos cuando una instrucción contiene varias acciones.;Infantil/Adolescente;bajo;"PSP2_SRC001;PSP2_SRC006";Refuerzo positivo específico;Reforzar conducta concreta, esfuerzo y estrategia usada.;bajo;Juego de espera de turno;Practicar esperar turno en juego breve con refuerzo inmediato.;Reducir impulsividad.;bajo;2-3 veces/semana;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - seguimiento de instrucciones múltiples;Pérdida de pasos cuando una instrucción contiene varias acciones.;Infantil/Adolescente;bajo;"PSP2_SRC001;PSP2_SRC006";Refuerzo positivo específico;Reforzar conducta concreta, esfuerzo y estrategia usada.;bajo;Registro de autoeficacia;Anotar esfuerzo, estrategia usada y avance pequeño.;Mejorar autoconcepto académico.;bajo;semanal;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - seguimiento de instrucciones múltiples;Pérdida de pasos cuando una instrucción contiene varias acciones.;Infantil/Adolescente;bajo;"PSP2_SRC001;PSP2_SRC006";Refuerzo positivo específico;Reforzar conducta concreta, esfuerzo y estrategia usada.;bajo;Menú de recompensas educativas;Crear lista de reforzadores no excesivos y acordados.;Mejorar motivación.;bajo;semanal;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - seguimiento de instrucciones múltiples;Pérdida de pasos cuando una instrucción contiene varias acciones.;Infantil/Adolescente;bajo;"PSP2_SRC001;PSP2_SRC006";Autoinstrucciones;Enseñar diálogo interno: paro, miro, pienso, hago, reviso.;bajo;Tarjeta de autoinstrucciones;Crear tarjeta: paro, leo, subrayo, hago, reviso.;Mejorar control ejecutivo.;bajo;diario;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - seguimiento de instrucciones múltiples;Pérdida de pasos cuando una instrucción contiene varias acciones.;Infantil/Adolescente;bajo;"PSP2_SRC001;PSP2_SRC006";Entrenamiento de memoria de trabajo;Reducir carga, externalizar información y practicar estrategias.;bajo;Instrucciones de 1-2-3 pasos;Practicar seguir instrucciones graduadas y comprobar cumplimiento.;Mejorar memoria de trabajo.;bajo;diario;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - seguimiento de instrucciones múltiples;Pérdida de pasos cuando una instrucción contiene varias acciones.;Infantil/Adolescente;bajo;"PSP2_SRC001;PSP2_SRC006";Entrenamiento de memoria de trabajo;Reducir carga, externalizar información y practicar estrategias.;bajo;Memoria de trabajo externa;Usar papel auxiliar para datos, pasos o consignas.;Reducir carga cognitiva.;bajo;cada tarea;alta;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - seguimiento de instrucciones múltiples;Pérdida de pasos cuando una instrucción contiene varias acciones.;Infantil/Adolescente;bajo;"PSP2_SRC001;PSP2_SRC006";Planificación por objetivos SMART;Objetivos específicos, medibles, alcanzables, relevantes y temporales.;bajo;Objetivo SMART semanal;Definir objetivo concreto, medible y revisable para la semana.;Mejorar planificación.;bajo;semanal;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - seguimiento de instrucciones múltiples;Pérdida de pasos cuando una instrucción contiene varias acciones.;Infantil/Adolescente;bajo;"PSP2_SRC001;PSP2_SRC006";Planificación por objetivos SMART;Objetivos específicos, medibles, alcanzables, relevantes y temporales.;bajo;Reto graduado;Elegir tarea ligeramente difícil pero alcanzable.;Trabajar frustración y esfuerzo.;bajo;semanal;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - seguimiento de instrucciones múltiples;Pérdida de pasos cuando una instrucción contiene varias acciones.;Infantil/Adolescente;bajo;"PSP2_SRC001;PSP2_SRC006";Planificación por objetivos SMART;Objetivos específicos, medibles, alcanzables, relevantes y temporales.;bajo;Planificar con cuatro casillas;Objetivo, materiales, pasos y revisión.;Mejorar planificación.;bajo;cada tarea larga;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - seguimiento de instrucciones múltiples;Pérdida de pasos cuando una instrucción contiene varias acciones.;Infantil/Adolescente;bajo;"PSP2_SRC001;PSP2_SRC006";Monitorización y autoevaluación;Revisar proceso, resultado, errores y próximos pasos.;bajo;Registro de distractores;Anotar cuándo se distrae, por qué y qué ayuda a volver.;Detectar patrones de atención.;bajo;7 días;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TDAH y autorregulación;TDAH - seguimiento de instrucciones múltiples;Pérdida de pasos cuando una instrucción contiene varias acciones.;Infantil/Adolescente;bajo;"PSP2_SRC001;PSP2_SRC006";Monitorización y autoevaluación;Revisar proceso, resultado, errores y próximos pasos.;bajo;Revisión COPS;Revisar mayúsculas, orden, puntuación y ortografía.;Mejorar revisión escrita.;bajo;cada texto;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TEA / Autismo / Asperger;TEA - dificultad de comunicación social;Dificultad en reciprocidad social, conversación o interpretación de claves sociales.;Infantil/Adolescente;medio;"PSP2_SRC002;PSP2_SRC003";Psicoeducación al alumno y familia;Explicar perfil, fortalezas, necesidades y objetivos de intervención.;bajo;Mapa de fortalezas y necesidades;Identificar fortalezas, dificultades y apoyos necesarios.;Comprender perfil 2e.;bajo;sesión;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TEA / Autismo / Asperger;TEA - dificultad de comunicación social;Dificultad en reciprocidad social, conversación o interpretación de claves sociales.;Infantil/Adolescente;medio;"PSP2_SRC002;PSP2_SRC003";Apoyos visuales;Uso de esquemas, pictogramas, mapas, colores, horarios o plantillas.;bajo;Horario visual diario;Representar actividades del día con texto, pictos o colores.;Aumentar anticipación.;bajo;diario;alta;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TEA / Autismo / Asperger;TEA - dificultad de comunicación social;Dificultad en reciprocidad social, conversación o interpretación de claves sociales.;Infantil/Adolescente;medio;"PSP2_SRC002;PSP2_SRC003";Historias sociales;Narrativas breves para anticipar situaciones sociales o rutinas.;bajo;Historia social de situación difícil;Crear historia social para recreo, cambio de clase, excursión o examen.;Anticipar conducta esperada.;bajo;antes de situación;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TEA / Autismo / Asperger;TEA - dificultad de comunicación social;Dificultad en reciprocidad social, conversación o interpretación de claves sociales.;Infantil/Adolescente;medio;"PSP2_SRC002;PSP2_SRC003";Anticipación de cambios;Preparar transiciones, cambios y alternativas con previsibilidad.;bajo;Plan de transición;Aviso previo, temporizador, opción de cierre y siguiente actividad.;Facilitar cambios.;bajo;cada transición difícil;media;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
TEA / Autismo / Asperger;TEA - dificultad de comunicación social;Dificultad en reciprocidad social, conversación o interpretación de claves sociales.;Infantil/Adolescente;medio;"PSP2_SRC002;PSP2_SRC003";Perfil sensorial y regulación ambiental;Identificar estímulos y adaptar entorno o pausas sensoriales.;medio;Semáforo de sobrecarga sensorial;Identificar verde/amarillo/rojo y estrategia en cada nivel.;Prevenir crisis por sobrecarga.;medio;diario;alta;El profesional debe adaptar la pauta a edad, contexto escolar, evaluación individual, familia, centro educativo y normativa aplicable. No sustituye diagnóstico ni dictamen oficial.
